danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,popularity,track_genre
0.676,0.461,-6.746,0.143,0.0322,1.01e-06,0.358,0.715,87.917,230666,73,acoustic
0.42,0.166,-17.235,0.0763,0.924,5.56e-06,0.101,0.267,77.489,149610,55,acoustic
0.438,0.359,-9.734,0.0557,0.21,0.0,0.117,0.12,76.332,210826,57,acoustic
0.266,0.0596,-18.515,0.0363,0.905,7.07e-05,0.132,0.143,181.74,201933,71,acoustic
0.618,0.443,-9.681,0.0526,0.469,0.0,0.0829,0.167,119.949,198853,82,acoustic
0.688,0.481,-8.807,0.105,0.289,0.0,0.189,0.666,98.017,214240,58,acoustic
0.407,0.147,-8.822,0.0355,0.857,2.89e-06,0.0913,0.0765,141.284,229400,74,acoustic
0.703,0.444,-9.331,0.0417,0.559,0.0,0.0973,0.712,150.96,242946,80,acoustic
0.625,0.414,-8.7,0.0369,0.294,0.0,0.151,0.669,130.088,189613,74,acoustic
0.442,0.632,-6.77,0.0295,0.426,0.00419,0.0735,0.196,78.899,205594,56,acoustic
0.627,0.363,-8.127,0.0291,0.279,0.0,0.0928,0.301,99.905,244800,74,acoustic
0.483,0.303,-10.058,0.0429,0.694,0.0,0.115,0.139,133.406,240165,69,acoustic
0.489,0.314,-9.245,0.0331,0.749,0.0,0.113,0.607,124.234,198712,52,acoustic
0.691,0.234,-6.441,0.0285,0.777,0.0,0.12,0.209,87.103,248448,62,acoustic
0.755,0.78,-6.084,0.0327,0.124,2.83e-05,0.121,0.387,120.004,188133,56,acoustic
0.489,0.561,-7.933,0.0274,0.2,4.56e-05,0.179,0.238,83.457,244986,58,acoustic
0.706,0.112,-18.098,0.0391,0.827,4.03e-06,0.125,0.414,110.154,129750,56,acoustic
0.795,0.0841,-18.09,0.0461,0.742,1.17e-05,0.0853,0.609,91.803,169728,54,acoustic
0.625,0.414,-8.7,0.0369,0.294,0.0,0.151,0.669,130.088,189613,68,acoustic
0.717,0.32,-8.393,0.0283,0.83,0.0,0.107,0.322,107.946,260186,67,acoustic
